TYC_4282-605-1_b,10.78,101.54,2300
WASP-53b,2.132,3.3098443,NULL
WASP-53c,16.35,2840,NULL
WASP-81b,0.729,2.7164762,NULL
WASP-91b,1.34,2.798581,490
WASP-105b,1.8,7.87288,NULL
WASP-107b,0.12,5.721490,NULL
WASP-151b,0.31,4.533471,1570
WASP-153b,0.39,3.332609,1400
WASP-156b,0.128,3.836169,460
WASP-167b,NULL,2.0219596,1240
YZ_Ceti_b,0.0024,1.96876,12
YZ_Ceti_c,0.00308,3.06008,12
YZ_Ceti_d,0.00359,4.65627,12
